Ticker;Name;Market Cap;12M IVOL 100% Mny;R&D/Net Sales:Q;;;;
MRK US Equity;MERCK & CO. INC.;1.11611E+11;31.1616993;20.72830009;;;;
CBST US Equity;CUBIST PHARMACEUTICALS LLC;1099252736;41.97269821;24.75162697;;;;
PFE US Equity;PFIZER INC;1.46785E+11;29.10330009;14.04354191;;;;
ILMN US Equity;ILLUMINA INC;3837840896;42.50989914;21.72644615;;;;
VPHM US Equity;SHIRE VIROPHARMA INC;649744256;49.05569839;13.66339302;;;;
AMGN US Equity;AMGEN INC;57256669184;33.29809952;16.97271729;;;;
ATLN SW Equity;ACTELION LTD-REG;6823134720;32.0868988;24.43941689;;;;
JNJ US Equity;JOHNSON & JOHNSON;1.77714E+11;18.28980064;10.72210121;;;;
NOVN VX Equity;NOVARTIS AG-REG;1.43889E+11;17.16419983;16.16474724;;;;
ALXN US Equity;ALEXION PHARMACEUTICALS INC;4323792384;34.05360031;20.77698135;;;;
BSX US Equity;BOSTON SCIENTIFIC CORP;13593869312;40.43289948;12.74074078;;;;
LLY US Equity;ELI LILLY & CO;41031593984;24.83200073;20.17439842;;;;
GSK LN Equity;GLAXOSMITHKLINE PLC;1.10592E+11;21.1746006;13.05119896;;;;
GILD US Equity;GILEAD SCIENCES INC;38939754496;28.85810089;14.98044014;;;;
BAYN GR Equity;BAYER AG-REG;66327388160;30.64830017;9.36147213;;;;
BMY US Equity;BRISTOL-MYERS SQUIBB CO;43220283392;26.26469994;15.27246189;;;;
MYGN US Equity;MYRIAD GENETICS INC;2509897216;42.39709854;6.668076038;;;;
HOLX US Equity;HOLOGIC INC;3740475136;42.41870117;5.636013031;;;;
AZN LN Equity;ASTRAZENECA PLC;68161454080;23.25020027;12.8780489;;;;
ISRG US Equity;INTUITIVE SURGICAL INC;11588568064;36.96590042;8.799360275;;;;
1284849D US Equity;ALLERGAN INC;19376324608;27.95409966;15.49986935;;;;
MDT US Equity;MEDTRONIC PLC;48582561792;29.56299973;9.61438179;;;;
MRK GR Equity;MERCK KGAA;20302782464;23.70400047;17.87037468;;;;
A US Equity;AGILENT TECHNOLOGIES INC;10838188032;30.47730064;12.85346985;;;;
STJ US Equity;ST JUDE MEDICAL INC;12293905408;30.78949928;12.26485538;;;;
ALR US Equity;ALERE INC;3454159104;39.77700043;5.173476219;;;;
