Ticker;Name;Market Cap;12M IVOL 100% Mny;R&D/Net Sales:Q;;;;
LIVN US Equity;LIVANOVA PLC;809001920;48.60079956;25.46382141;;;;
SRDX US Equity;SURMODICS INC;686009088;38.13290024;26.93598557;;;;
PFE US Equity;PFIZER INC;1.71901E+11;23.20940018;14.62794304;;;;
SLXP US Equity;SALIX PHARMACEUTICALS LTD;812213568;45.95650101;18.08149529;;;;
ISRG US Equity;INTUITIVE SURGICAL INC;4159965696;53.17490005;7.535236835;;;;
AFFX US Equity;AFFYMETRIX INC;3169114880;35.49779892;23.76957893;;;;
CYBX US Equity;CYBERONICS INC;809001920;48.60079956;11.37507534;;;;
GSK LN Equity;GLAXOSMITHKLINE PLC;1.46897E+11;21.52129936;14.6773901;;;;
HOLX US Equity;HOLOGIC INC;1680015232;53.45209885;5.529488087;;;;
VIVO US Equity;MERIDIAN BIOSCIENCE INC;524852416;54.67210007;3.745603085;;;;
JNJ US Equity;JOHNSON & JOHNSON;1.78793E+11;17.18160057;12.185215;;;;
AMGN US Equity;AMGEN INC;97338458112;22.53190041;17.81864357;;;;
THOR US Equity;THORATEC LLC;1047607104;38.95610046;16.57009506;;;;
NOVN VX Equity;NOVARTIS AG-REG;1.43811E+11;17.00720024;14.15329838;;;;
GILD US Equity;GILEAD SCIENCES INC;24072781824;33.65200043;15.97524357;;;;
MRK US Equity;MERCK & CO. INC.;69556772864;23.7723999;17.40334511;;;;
VRX CN Equity;VALEANT PHARMACEUTICALS INTE;3777282304;43.51760101;7.716482162;;;;
LLY US Equity;ELI LILLY & CO;64321789952;19.68959999;20.85473824;;;;
SHP LN Equity;SHIRE PLC;6407631360;29.7866993;19.75951767;;;;
LCAV US Equity;LCA-VISION INC;981257280;50.76490021;0;;;;
1321686D US Equity;WRIGHT MEDICAL GROUP INC;694220160;41.17419815;8.034949303;;;;
LUN DC Equity;H LUNDBECK A/S;4702476800;27.78730011;20.24014473;;;;
AZN LN Equity;ASTRAZENECA PLC;76814155776;21.90780067;13.49110413;;;;
1284849D US Equity;ALLERGAN INC;14494148608;26.43600082;18.18181801;;;;
BSX US Equity;BOSTON SCIENTIFIC CORP;20069165056;31.07740021;11.97882175;;;;
QGEN US Equity;QIAGEN N.V.;1736129536;36.18220139;9.019873619;;;;
CNC US Equity;CENTENE CORP;1121867904;45.53039932;0;;;;
