Ticker;Name;Market Cap;12M IVOL 100% Mny;R&D/Net Sales:Q;;;;
VPHM US Equity;SHIRE VIROPHARMA INC;1024536000;80.68430328;22.86347008;;;;
UTHR US Equity;UNITED THERAPEUTICS CORP;1452961408;73.82980347;25.60640717;;;;
ALXN US Equity;ALEXION PHARMACEUTICALS INC;2820131072;77.82230377;19.44313622;;;;
ILMN US Equity;ILLUMINA INC;3223382528;68.33869934;18.34620094;;;;
NOVN VX Equity;NOVARTIS AG-REG;1.30522E+11;34.71960068;18.07015991;;;;
CBST US Equity;CUBIST PHARMACEUTICALS LLC;1376673024;55.56969833;25.46271133;;;;
THOR US Equity;THORATEC LLC;1821824768;69.09660339;16.63428879;;;;
IART US Equity;INTEGRA LIFESCIENCES HOLDING;983343296;61.97769928;20.78573608;;;;
PFE US Equity;PFIZER INC;1.19417E+11;38.10200119;15.74375725;;;;
AMGN US Equity;AMGEN INC;61187330048;45.26179886;18.81290245;;;;
JNJ US Equity;JOHNSON & JOHNSON;1.66002E+11;29.67980003;11.68896389;;;;
BIIB US Equity;BIOGEN INC;13896185856;47.28559875;24.59367371;;;;
MRK US Equity;MERCK & CO. INC.;64271253504;41.93740082;19.7025528;;;;
MYGN US Equity;MYRIAD GENETICS INC;3081070080;50.98509979;23.28445244;;;;
BSX US Equity;BOSTON SCIENTIFIC CORP;11621793792;64.42980194;12.74014187;;;;
GSK LN Equity;GLAXOSMITHKLINE PLC;97269071872;39.40269852;14.17885113;;;;
LLY US Equity;ELI LILLY & CO;45785112576;42.48080063;18.29350281;;;;
MYL US Equity;MYLAN NV;3013497856;72.54930115;6.217175961;;;;
ISRG US Equity;INTUITIVE SURGICAL INC;4967061504;66.27829742;9.279975891;;;;
AZN LN Equity;ASTRAZENECA PLC;59301101568;37.24990082;16.60450172;;;;
1255459D US Equity;LIFE TECHNOLOGIES CORP;4041303552;63.2928009;8.689618111;;;;
HOLX US Equity;HOLOGIC INC;3348869888;69.625;4.732967854;;;;
ALR US Equity;ALERE INC;1477300352;67.7365036;5.856882095;;;;
1284849D US Equity;ALLERGAN INC;12398879744;46.40990067;16.99144173;;;;
ATLN SW Equity;ACTELION LTD-REG;6905202688;41.85160065;20.21964645;;;;
BMY US Equity;BRISTOL-MYERS SQUIBB CO;46025973760;38.6792984;15.87362003;;;;
GILD US Equity;GILEAD SCIENCES INC;46563467264;41.99539948;13.71446037;;;;
BCR US Equity;CR BARD INC;8358617600;30.43759918;25.79442215;;;;
PKI US Equity;PERKINELMER INC;1642872576;64.834198;5.444283009;;;;
NUVA US Equity;NUVASIVE INC;1252334080;56.44480133;9.558395386;;;;
ABT US Equity;ABBOTT LABORATORIES;82807939072;35.33100128;9.074297905;;;;
FRX US Equity;FOREST LABORATORIES INC;7676156416;44.82989883;15.04523087;;;;
A US Equity;AGILENT TECHNOLOGIES INC;5501458432;50.21110153;11.47873116;;;;
BAYN GR Equity;BAYER AG-REG;44328382464;44.50830078;8.329138756;;;;
NOBN SW Equity;NOBEL BIOCARE HOLDING AG-REG;2494715392;62.51819992;3.990963936;;;;
COO US Equity;COOPER COS INC/THE;740109056;62.25460052;3.418783903;;;;
QGEN US Equity;QIAGEN N.V.;3465613568;48.80039978;10.44194126;;;;
UNH US Equity;UNITEDHEALTH GROUP INC;32127733760;58.4518013;0;;;;
PHIA NA Equity;KONINKLIJKE PHILIPS NV;22061029376;51.27930069;5.85727787;;;;
ENDP US Equity;ENDO INTERNATIONAL PLC;3015752448;52.99710083;6.997234821;;;;
MRK GR Equity;MERCK KGAA;19574362112;33.95240021;15.80961895;;;;
STJ US Equity;ST JUDE MEDICAL INC;11344244736;41.11640167;12.08833599;;;;
MDT US Equity;MEDTRONIC PLC;35134619648;39.17539978;9.131652832;;;;
AMED US Equity;AMEDISYS INC;1115911296;62.59120178;0;;;;
WAT US Equity;WATERS CORP;3603098112;51.76449966;5.177188873;;;;
IDXX US Equity;IDEXX LABORATORIES INC;2148924928;47.42739868;7.136797905;;;;
ITGR US Equity;INTEGER HOLDINGS CORP;606251520;50.8669014;4.985980988;;;;
VAR US Equity;VARIAN MEDICAL SYSTEMS INC;4353650176;46.69810104;6.596929073;;;;
ANTM US Equity;ANTHEM INC;21445867520;51.91220093;0;;;;
DHR US Equity;DANAHER CORP;18093092864;42.51369858;5.673183918;;;;
BAX US Equity;BAXTER INTERNATIONAL INC;33234968576;35.1692009;7.299270153;;;;
EW US Equity;EDWARDS LIFESCIENCES CORP;3058670848;35.30960083;11.56126499;;;;
COV US Equity;COVIDIEN LTD;18249613312;43.05070114;4.003108978;;;;
ZBH US Equity;ZIMMER BIOMET HOLDINGS INC;9077139456;43.31579971;4.90443182;;;;
SAZ GR Equity;STADA ARZNEIMITTEL AG;1681346944;48.72200012;2.7763381;;;;
SYK US Equity;STRYKER CORP;16129197056;39.09349823;5.601935863;;;;
PRGO US Equity;PERRIGO CO PLC;3022500352;44.25989914;3.794800997;;;;
AGN US Equity;ALLERGAN PLC;2779434496;38.80899811;7.073925018;;;;
DGX US Equity;QUEST DIAGNOSTICS INC;10154005504;35.75370026;0;;;;
FME GR Equity;FRESENIUS MEDICAL CARE AG &;13842213888;31.93350029;0.744711995;;;;
LH US Equity;LABORATORY CRP OF AMER HLDGS;6956279808;31.91200066;0;;;;
ROG VX Equity;ROCHE HOLDING AG-GENUSSCHEIN;1.32245E+11;40.6291008;;;;;
